                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.56682,                0.32594,                0.97339,                0.75398,                0.89584,                0.81758,                0.64789,                0.86474,                0.72356,                 1.2941,             0.00035106,             0.00035106,             0.00035106
                     65,                0.56207,                0.31599,                0.96861,                0.74454,                0.83366,                0.77546,                0.62084,                0.84216,                0.85979,                 1.2876,             0.00034206,             0.00034206,             0.00034206
                     66,                0.55678,                0.31734,                0.97713,                0.73128,                0.85946,                0.78223,                0.62297,                0.85034,                0.85494,                 1.2992,             0.00033306,             0.00033306,             0.00033306
                     67,                0.56001,                0.31411,                0.97443,                0.73752,                0.86988,                0.77857,                0.62002,                 0.8447,                0.84456,                 1.2899,             0.00032406,             0.00032406,             0.00032406
                     68,                0.54838,                0.30825,                0.96902,                0.74676,                 0.8621,                 0.7887,                0.62925,                0.85015,                0.83453,                 1.2874,             0.00031506,             0.00031506,             0.00031506
                     69,                 0.5499,                0.31028,                0.97799,                 0.7209,                0.83941,                0.74277,                0.59678,                0.83695,                0.93985,                 1.2936,             0.00030606,             0.00030606,             0.00030606
                     70,                0.54282,                0.30213,                0.96555,                 0.7162,                0.84819,                0.73293,                 0.5892,                0.84341,                0.95748,                 1.2934,             0.00029706,             0.00029706,             0.00029706
                     71,                0.54346,                0.30373,                0.97177,                0.73137,                0.85314,                0.76003,                0.60902,                0.85095,                0.91244,                 1.2932,             0.00028806,             0.00028806,             0.00028806
                     72,                0.52755,                0.29592,                0.95991,                0.73287,                0.84763,                0.76538,                0.61448,                0.83845,                0.90968,                 1.2886,             0.00027906,             0.00027906,             0.00027906
                     73,                0.52379,                0.29302,                0.95356,                0.76137,                0.86133,                0.80341,                0.64204,                0.84959,                0.82707,                 1.2978,             0.00027006,             0.00027006,             0.00027006
                     74,                0.53201,                0.29866,                0.97098,                0.73269,                0.84771,                0.75514,                0.60704,                0.84794,                0.88629,                 1.3001,             0.00026106,             0.00026106,             0.00026106
                     75,                0.52322,                 0.2941,                0.95686,                0.70248,                 0.8205,                0.70851,                0.56901,                0.84532,                 1.0645,                 1.2926,             0.00025207,             0.00025207,             0.00025207
                     76,                0.51819,                0.28988,                0.95511,                0.73103,                0.85129,                0.76532,                0.61234,                0.84761,                0.92023,                 1.3075,             0.00024307,             0.00024307,             0.00024307
